"SettlementPoint","Year","Month","AveragePrice"
"HB_BUSAVG","2016","01",19.2093010752688
"HB_BUSAVG","2016","02",15.2882471264368
"HB_BUSAVG","2016","03",16.7556258411844
"HB_BUSAVG","2016","04",18.2893472222222
"HB_BUSAVG","2016","05",18.1595833333333
"HB_BUSAVG","2016","06",23.9098194444444
"HB_BUSAVG","2016","07",27.1874731182796
"HB_BUSAVG","2016","08",30.5671370967742
"HB_BUSAVG","2016","09",26.86175
"HB_BUSAVG","2016","10",25.2048387096774
"HB_BUSAVG","2016","11",19.2449027777778
"HB_BUSAVG","2016","12",25.3183064516129
"HB_BUSAVG","2017","01",23.2527822580645
"HB_BUSAVG","2017","02",20.1178273809524
"HB_BUSAVG","2017","03",22.5698923283984
"HB_BUSAVG","2017","04",23.7050833333333
"HB_BUSAVG","2017","05",25.0873521505376
"HB_BUSAVG","2017","06",27.6691527777778
"HB_BUSAVG","2017","07",31.4542741935484
"HB_BUSAVG","2017","08",27.5070161290323
"HB_BUSAVG","2017","09",24.1841666666667
"HB_BUSAVG","2017","10",23.5632795698925
"HB_BUSAVG","2017","11",22.6774583333333
"HB_BUSAVG","2017","12",21.1879569892473
"HB_BUSAVG","2018","01",37.8696774193548
"HB_BUSAVG","2018","02",21.8543154761905
"HB_BUSAVG","2018","03",22.5619784656797
"HB_BUSAVG","2018","04",23.1429583333333
"HB_BUSAVG","2018","05",34.0052419354839
"HB_BUSAVG","2018","06",29.966125
"HB_BUSAVG","2018","07",78.8594489247312
"HB_BUSAVG","2018","08",31.6615591397849
"HB_BUSAVG","2018","09",27.1754444444444
"HB_BUSAVG","2018","10",29.9578225806452
"HB_BUSAVG","2018","11",30.6445
"HB_BUSAVG","2018","12",30.268185483871
"HB_BUSAVG","2019","01",24.5925672043011
"HB_BUSAVG","2019","02",21.186369047619
"HB_BUSAVG","2019","03",27.5657200538358
"HB_BUSAVG","2019","04",22.6131805555556
"HB_BUSAVG","2019","05",23.9599327956989
"HB_BUSAVG","2019","06",25.0855416666667
"HB_BUSAVG","2019","07",29.729623655914
"HB_BUSAVG","2019","08",126.384086021505
"HB_BUSAVG","2019","09",79.615625
"HB_BUSAVG","2019","10",28.2470564516129
"HB_BUSAVG","2019","11",23.468375
"HB_BUSAVG","2019","12",18.7150806451613
"HB_HOUSTON","2016","01",19.5657258064516
"HB_HOUSTON","2016","02",15.4645402298851
"HB_HOUSTON","2016","03",17.1249528936743
"HB_HOUSTON","2016","04",18.9409583333333
"HB_HOUSTON","2016","05",19.1740860215054
"HB_HOUSTON","2016","06",26.2557361111111
"HB_HOUSTON","2016","07",29.5389247311828
"HB_HOUSTON","2016","08",32.9725403225806
"HB_HOUSTON","2016","09",28.7424166666667
"HB_HOUSTON","2016","10",28.2495564516129
"HB_HOUSTON","2016","11",20.3659305555556
"HB_HOUSTON","2016","12",25.7276612903226
"HB_HOUSTON","2017","01",24.7818548387097
"HB_HOUSTON","2017","02",23.2657142857143
"HB_HOUSTON","2017","03",28.2132974427995
"HB_HOUSTON","2017","04",32.2957361111111
"HB_HOUSTON","2017","05",31.5331720430108
"HB_HOUSTON","2017","06",33.1683472222222
"HB_HOUSTON","2017","07",34.3758333333333
"HB_HOUSTON","2017","08",29.4017204301075
"HB_HOUSTON","2017","09",26.5429444444444
"HB_HOUSTON","2017","10",30.1412365591398
"HB_HOUSTON","2017","11",26.0910555555556
"HB_HOUSTON","2017","12",21.5490053763441
"HB_HOUSTON","2018","01",37.9447849462366
"HB_HOUSTON","2018","02",22.1641071428571
"HB_HOUSTON","2018","03",23.7825437415882
"HB_HOUSTON","2018","04",24.6526944444444
"HB_HOUSTON","2018","05",34.1475537634409
"HB_HOUSTON","2018","06",30.6284861111111
"HB_HOUSTON","2018","07",79.0340456989247
"HB_HOUSTON","2018","08",31.944247311828
"HB_HOUSTON","2018","09",27.5813611111111
"HB_HOUSTON","2018","10",30.981935483871
"HB_HOUSTON","2018","11",31.3192361111111
"HB_HOUSTON","2018","12",30.3335483870968
"HB_HOUSTON","2019","01",25.4260349462366
"HB_HOUSTON","2019","02",21.5078125
"HB_HOUSTON","2019","03",27.8320323014805
"HB_HOUSTON","2019","04",23.8706527777778
"HB_HOUSTON","2019","05",24.7942741935484
"HB_HOUSTON","2019","06",26.8976805555556
"HB_HOUSTON","2019","07",29.9110080645161
"HB_HOUSTON","2019","08",126.625336021505
"HB_HOUSTON","2019","09",80.5876527777778
"HB_HOUSTON","2019","10",30.3936021505376
"HB_HOUSTON","2019","11",24.0215
"HB_HOUSTON","2019","12",18.6725
"HB_HUBAVG","2016","01",19.2586962365591
"HB_HUBAVG","2016","02",15.2692528735632
"HB_HUBAVG","2016","03",16.6543472409152
"HB_HUBAVG","2016","04",18.1668611111111
"HB_HUBAVG","2016","05",18.247002688172
"HB_HUBAVG","2016","06",24.2978472222222
"HB_HUBAVG","2016","07",27.4592069892473
"HB_HUBAVG","2016","08",30.9485349462366
"HB_HUBAVG","2016","09",27.1881388888889
"HB_HUBAVG","2016","10",25.7690591397849
"HB_HUBAVG","2016","11",19.4893055555556
"HB_HUBAVG","2016","12",25.3625940860215
"HB_HUBAVG","2017","01",23.3255510752688
"HB_HUBAVG","2017","02",20.3521279761905
"HB_HUBAVG","2017","03",23.2332301480485
"HB_HUBAVG","2017","04",24.8304861111111
"HB_HUBAVG","2017","05",25.9050268817204
"HB_HUBAVG","2017","06",28.5138472222222
"HB_HUBAVG","2017","07",31.8644086021505
"HB_HUBAVG","2017","08",27.8386155913979
"HB_HUBAVG","2017","09",24.5196944444444
"HB_HUBAVG","2017","10",24.7014516129032
"HB_HUBAVG","2017","11",23.1671388888889
"HB_HUBAVG","2017","12",21.2098521505376
"HB_HUBAVG","2018","01",37.7730376344086
"HB_HUBAVG","2018","02",21.8300595238095
"HB_HUBAVG","2018","03",22.4034320323015
"HB_HUBAVG","2018","04",22.4503055555556
"HB_HUBAVG","2018","05",32.8348521505376
"HB_HUBAVG","2018","06",29.7818611111111
"HB_HUBAVG","2018","07",78.8323252688172
"HB_HUBAVG","2018","08",31.6945833333333
"HB_HUBAVG","2018","09",27.0530277777778
"HB_HUBAVG","2018","10",29.8891129032258
"HB_HUBAVG","2018","11",30.2772083333333
"HB_HUBAVG","2018","12",30.1919892473118
"HB_HUBAVG","2019","01",24.6834005376344
"HB_HUBAVG","2019","02",21.2506398809524
